City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khatanga,RU,71.9667,102.5,-28.48,97,100,1.52,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,53.71,35,20,31.07,few clouds
2,Mataura,NZ,-46.1927,168.8643,58.48,69,89,4.16,overcast clouds
3,Henties Bay,NA,-22.116,14.2845,62.87,75,100,7.38,overcast clouds
4,Torbay,CA,47.6666,-52.7314,36.27,92,40,10.36,shower rain
5,Nikolskoye,RU,59.7035,30.7861,22.91,79,94,7.61,overcast clouds
6,Aripuana,BR,-9.1667,-60.6333,81.66,69,95,0.51,light rain
7,Hobart,AU,-42.8794,147.3294,55.26,91,100,10.36,light rain
8,Itarema,BR,-2.9248,-39.9167,79.77,75,74,15.68,broken clouds
9,Rikitea,PF,-23.1203,-134.9692,71.08,67,93,9.28,overcast clouds
10,Bluff,NZ,-46.6,168.3333,58.8,83,64,8.95,broken clouds
11,Mehamn,NO,71.0357,27.8492,39.15,75,100,9.22,overcast clouds
12,West Bay,KY,19.3667,-81.4167,87.87,72,40,12.66,scattered clouds
13,Korla,CN,41.7597,86.1469,36.54,43,77,7.4,broken clouds
14,Yellowknife,CA,62.456,-114.3525,18.12,73,100,8.05,overcast clouds
15,Busselton,AU,-33.65,115.3333,54.25,81,76,7.38,broken clouds
16,Siyabuswa,ZA,-25.1132,29.0445,77.32,34,71,5.12,broken clouds
17,Macheng,CN,31.1783,115.0319,52.9,88,0,2.39,clear sky
18,Hanstholm,DK,57.1167,8.6167,38.88,71,100,23.67,overcast clouds
19,Tasiilaq,GL,65.6145,-37.6368,35.76,69,100,10.76,overcast clouds
20,Ribeira Grande,PT,38.5167,-28.7,64.8,100,75,11.99,broken clouds
21,Imeni Poliny Osipenko,RU,52.4201,136.4853,19.6,95,100,1.28,overcast clouds
22,Katherine,AU,-14.4667,132.2667,77.32,100,100,0.0,overcast clouds
23,Cabedelo,BR,-6.9811,-34.8339,81.27,78,90,10.09,overcast clouds
24,New Norfolk,AU,-42.7826,147.0587,54.91,71,100,5.01,light rain
25,Yumen,CN,40.2833,97.2,34.7,31,100,7.07,overcast clouds
26,Bandipur,NP,27.9333,84.4167,50.9,81,0,2.19,clear sky
27,Cayenne,GF,4.9333,-52.3333,84.24,70,0,2.3,clear sky
28,Hilo,US,19.7297,-155.09,83.25,72,40,4.61,scattered clouds
29,Navolato,MX,24.7672,-107.6944,86.63,43,98,8.81,overcast clouds
30,Kapaa,US,22.0752,-159.319,80.58,79,40,17.27,light rain
31,Pevek,RU,69.7008,170.3133,-13.49,99,98,5.3,overcast clouds
32,Zyryanka,RU,65.75,150.85,-24.63,91,41,6.78,scattered clouds
33,San Quintin,MX,30.4833,-115.95,65.86,42,0,8.59,clear sky
34,Salalah,OM,17.0151,54.0924,75.29,60,0,4.61,clear sky
35,Bantou,CN,26.2151,117.4893,65.43,89,100,2.35,overcast clouds
36,Olafsvik,IS,64.8945,-23.7142,43.39,85,99,25.01,overcast clouds
37,Isilkul,RU,54.9109,71.2728,-0.6,93,31,6.13,scattered clouds
38,Ratholo,BW,-22.7245,27.572,86.16,24,90,2.91,overcast clouds
39,Dengfeng,CN,34.4553,113.0281,49.37,86,2,3.74,clear sky
40,East London,ZA,-33.0153,27.9116,61.41,74,0,11.48,clear sky
41,Thompson,CA,55.7435,-97.8558,1.56,71,75,9.22,light snow
42,North Battleford,CA,52.7834,-108.2847,19.49,58,0,10.36,clear sky
43,Baiao,BR,-2.7906,-49.6717,82.65,62,100,4.25,light rain
44,Pathein,MM,16.7833,94.7333,72.28,80,91,3.58,overcast clouds
45,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,100,14.97,light snow
46,Ushuaia,AR,-54.8,-68.3,49.66,53,40,24.16,scattered clouds
47,Saint George,US,37.1041,-113.5841,52.43,26,0,5.75,clear sky
48,Qandala,SO,11.472,49.8728,78.1,79,69,6.02,broken clouds
49,San Vicente,AR,-26.6167,-54.1333,78.22,46,0,4.43,clear sky
50,Barrow,US,71.2906,-156.7887,28.42,64,100,21.85,overcast clouds
51,Atuona,PF,-9.8,-139.0333,77.09,74,10,10.89,clear sky
52,Lagoa,PT,39.05,-27.9833,63.73,92,79,18.5,broken clouds
53,Belaya Gora,RU,68.5333,146.4167,-28.44,98,48,4.76,scattered clouds
54,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.4,73,20,9.22,few clouds
55,Butaritari,KI,3.0707,172.7902,80.85,72,39,18.9,scattered clouds
56,Faanui,PF,-16.4833,-151.75,77.81,80,52,7.7,light rain
57,Falmouth,GB,50.1544,-5.0711,49.66,90,100,14.97,overcast clouds
58,Hithadhoo,MV,-0.6,73.0833,80.55,80,51,10.13,broken clouds
59,Hermanus,ZA,-34.4187,19.2345,54.81,76,6,1.45,clear sky
60,Hays,US,30.0502,-98.0336,39.22,89,100,7.0,light rain
61,Kahului,US,20.8947,-156.47,82.42,71,40,20.71,scattered clouds
62,Kijang,KR,35.2442,129.2139,55.13,69,88,8.41,overcast clouds
63,Cape Town,ZA,-33.9258,18.4232,62.28,71,0,5.75,clear sky
64,Matveyevka,RU,52.15,56.1833,19.92,87,93,12.71,overcast clouds
65,Ancud,CL,-41.8697,-73.8203,54.82,59,54,9.4,light rain
66,Geraldton,AU,-28.7667,114.6,50.41,87,0,6.91,clear sky
67,Rio Gallegos,AR,-51.6226,-69.2181,59.05,26,40,32.21,scattered clouds
68,Letka,RU,59.6011,49.4232,10.87,92,6,1.83,clear sky
69,Lorengau,PG,-2.0226,147.2712,82.02,68,98,7.78,overcast clouds
70,Kodiak,US,57.79,-152.4072,42.31,87,100,19.57,moderate rain
71,Santa Rosalia,MX,27.3167,-112.2833,68.86,46,0,12.71,clear sky
72,Albany,US,42.6001,-73.9662,36.64,48,93,6.98,overcast clouds
73,Kormend,HU,47.011,16.606,32.32,72,100,5.75,light snow
74,Provideniya,RU,64.3833,-173.3,25.56,84,100,6.11,overcast clouds
75,Richards Bay,ZA,-28.783,32.0377,66.87,79,100,16.93,light rain
76,Alice Springs,AU,-23.7,133.8833,60.35,67,43,6.91,scattered clouds
77,Xuzhou,CN,34.1805,117.1571,52.66,88,15,2.95,few clouds
78,Port Elizabeth,ZA,-33.918,25.5701,61.32,86,0,8.01,clear sky
79,Guasdualito,VE,7.2424,-70.7324,86.0,70,40,5.75,scattered clouds
80,Sovetskiy,RU,61.3614,63.5842,13.5,88,85,9.01,overcast clouds
81,Alofi,NU,-19.0595,-169.9187,80.49,65,10,8.05,clear sky
82,Mar Del Plata,AR,-38.0023,-57.5575,71.62,89,0,6.91,clear sky
83,Hofu,JP,34.05,131.5667,57.07,69,64,6.6,broken clouds
84,Saint-Georges,GD,12.0564,-61.7485,83.88,79,20,20.71,few clouds
85,Sitka,US,57.0531,-135.33,48.09,61,100,24.16,overcast clouds
86,Kununurra,AU,-15.7667,128.7333,80.58,89,40,3.44,scattered clouds
87,Torre Del Campo,ES,37.7705,-3.8973,47.61,71,64,1.01,broken clouds
88,Narrabri,AU,-30.3167,149.7833,75.52,60,24,3.0,few clouds
89,Kavaratti,IN,10.5669,72.642,80.53,57,15,2.8,few clouds
90,Kidal,ML,18.4411,1.4078,76.15,14,100,8.23,overcast clouds
91,Ozernovskiy,RU,51.5,156.5167,29.28,72,100,4.25,overcast clouds
92,Bereda,ES,43.2686,-7.5406,49.41,100,100,5.57,overcast clouds
93,Namatanai,PG,-3.6667,152.4333,81.63,73,75,7.96,broken clouds
94,Lewisporte,CA,49.2499,-55.0482,35.31,82,51,8.34,broken clouds
95,Chuy,UY,-33.6971,-53.4616,71.24,77,100,15.35,overcast clouds
96,Jamestown,US,42.097,-79.2353,28.02,48,75,17.27,broken clouds
97,Sembakung,ID,3.8167,117.25,72.82,99,99,1.16,overcast clouds
98,Waslala,NI,13.2333,-85.3833,77.5,80,100,4.41,overcast clouds
99,Gamba,GA,-2.65,10.0,77.02,83,96,8.59,light rain
100,Carnarvon,AU,-24.8667,113.6333,64.15,59,0,23.4,clear sky
101,Pyapon,MM,16.2833,95.6833,72.81,75,100,6.2,overcast clouds
102,Booue,GA,-0.0921,11.9385,73.44,96,99,1.1,light rain
103,Qunduz,AF,36.729,68.857,51.98,70,0,1.59,clear sky
104,Sanary-Sur-Mer,FR,43.1178,5.8001,53.89,62,2,4.0,clear sky
105,Likasi,CD,-10.9814,26.7333,61.93,93,52,2.19,broken clouds
106,Cozumel,MX,20.5083,-86.9458,83.95,77,100,8.66,moderate rain
107,Puerto Ayora,EC,-0.7393,-90.3518,82.36,95,92,5.99,light rain
108,Port Alfred,ZA,-33.5906,26.891,57.18,93,2,3.0,clear sky
109,Namwala,ZM,-15.7504,26.4384,73.02,28,3,3.47,clear sky
110,Ferme-Neuve,CA,46.7001,-75.4493,28.17,58,100,11.27,overcast clouds
111,Husavik,IS,66.0449,-17.3389,43.81,74,86,27.94,overcast clouds
112,Fortuna,US,40.5982,-124.1573,62.92,50,0,4.61,clear sky
113,Valparaiso,CL,-33.0393,-71.6273,74.84,73,0,13.8,clear sky
114,Georgetown,MY,5.4112,100.3354,78.89,93,20,3.44,few clouds
115,Bethel,US,41.3712,-73.414,39.02,46,0,11.5,clear sky
116,Sosnovka,RU,56.255,51.2842,16.45,79,6,5.28,clear sky
117,Kirensk,RU,57.7853,108.1119,-19.73,100,80,0.4,broken clouds
118,Constitucion,CL,-35.3333,-72.4167,61.57,65,98,22.21,overcast clouds
119,Luwingu,ZM,-10.2621,29.9271,63.86,89,67,3.89,light rain
120,Hamilton,US,39.1834,-84.5333,36.99,40,0,21.85,clear sky
121,Vaini,TO,-21.2,-175.2,77.07,71,94,6.4,overcast clouds
122,Obo,CF,5.3998,26.4869,73.38,64,100,2.59,overcast clouds
123,Zharkent,KZ,44.1628,80.0,34.47,86,32,6.78,scattered clouds
124,Sambava,MG,-14.2667,50.1667,71.51,84,0,3.56,clear sky
125,Vao,NC,-22.6667,167.4833,72.41,71,68,11.3,broken clouds
126,Bengkulu,ID,-3.8004,102.2655,73.92,91,96,5.39,overcast clouds
127,Tatarsk,RU,55.219,75.9828,1.76,88,71,9.8,broken clouds
128,Itoman,JP,26.1247,127.6694,75.22,83,20,8.05,few clouds
129,Hasaki,JP,35.7333,140.8333,52.21,59,100,10.76,overcast clouds
130,Ndele,CF,8.4109,20.6473,75.74,33,7,3.27,clear sky
131,Severo-Kurilsk,RU,50.6789,156.125,32.45,76,96,9.53,overcast clouds
132,Sao Filipe,CV,14.8961,-24.4956,77.99,67,99,14.76,overcast clouds
133,Bredasdorp,ZA,-34.5322,20.0403,56.53,80,3,4.23,clear sky
134,Khovu-Aksy,RU,51.1333,93.6,2.23,95,99,3.94,overcast clouds
135,Grafenau,DE,48.8577,13.3974,34.92,91,100,0.98,overcast clouds
136,Puerto Escondido,MX,15.85,-97.0667,84.67,67,100,5.57,overcast clouds
137,Vannes,FR,47.8333,-2.5,43.41,81,100,4.92,overcast clouds
138,Ulladulla,AU,-35.35,150.4667,69.84,50,0,10.13,clear sky
139,Qaanaaq,GL,77.484,-69.3632,-3.75,58,17,7.43,few clouds
140,Tolaga Bay,NZ,-38.3667,178.3,64.96,76,62,8.37,broken clouds
141,Valle De Allende,MX,26.9333,-105.4,65.68,38,87,9.89,overcast clouds
142,Trairi,BR,-3.2778,-39.2689,79.63,74,30,10.4,scattered clouds
143,Tiksi,RU,71.6872,128.8694,-5.93,97,100,6.78,overcast clouds
144,Hovd,MN,48.0056,91.6419,15.42,58,6,2.51,clear sky
145,Deputatskiy,RU,69.3,139.9,-28.91,97,48,4.76,scattered clouds
146,Talnakh,RU,69.4865,88.3972,-2.79,96,100,4.03,overcast clouds
147,Cairns,AU,-16.9167,145.7667,79.11,91,100,1.14,overcast clouds
148,Doha,QA,25.2867,51.5333,78.78,63,0,18.41,clear sky
149,Iracoubo,GF,5.4802,-53.2011,80.73,75,81,10.4,broken clouds
150,Praia Da Vitoria,PT,38.7333,-27.0667,64.76,88,20,8.63,few clouds
151,Avarua,CK,-21.2078,-159.775,77.05,65,40,11.5,scattered clouds
152,Hualmay,PE,-11.0964,-77.6139,68.4,74,89,8.23,overcast clouds
153,Cedar City,US,37.6775,-113.0619,34.39,51,0,3.44,clear sky
154,Longyearbyen,SJ,78.2186,15.6401,39.04,87,75,23.02,light intensity drizzle rain
155,Caravelas,BR,-17.7125,-39.2481,72.95,87,100,8.1,overcast clouds
156,Saldanha,ZA,-33.0117,17.9442,57.25,76,0,13.18,clear sky
157,Nelson Bay,AU,-32.7167,152.15,75.99,74,0,3.0,clear sky
158,Krasnoselkup,RU,65.7,82.4667,-25.02,100,55,3.02,broken clouds
159,Kristiansund,NO,63.1115,7.732,32.65,59,0,4.61,clear sky
160,Saint-Joseph,RE,-21.3667,55.6167,70.18,79,15,6.06,few clouds
161,Qasigiannguit,GL,68.8193,-51.1922,11.61,77,21,3.96,few clouds
162,Saint Anthony,US,45.0205,-93.218,17.55,58,75,23.02,broken clouds
163,Matagami,CA,49.7502,-77.6328,23.11,86,75,10.36,broken clouds
164,Comarapa,BO,-17.9,-64.4833,70.83,48,50,11.14,scattered clouds
165,Beringovskiy,RU,63.05,179.3167,10.22,86,100,17.18,overcast clouds
166,Miyako,JP,39.6367,141.9525,49.28,71,96,3.42,overcast clouds
167,Vanimo,PG,-2.6741,141.3028,78.69,87,95,4.65,overcast clouds
168,Kysyl-Syr,RU,63.8986,122.7617,-1.03,97,100,4.45,overcast clouds
169,Hambantota,LK,6.1241,81.1185,77.23,84,100,4.12,overcast clouds
170,Hof,DE,50.3167,11.9167,25.45,88,5,2.3,clear sky
171,Grindavik,IS,63.8424,-22.4338,44.55,87,75,14.97,broken clouds
172,Karatau,KZ,43.1667,70.4667,46.06,78,84,6.04,broken clouds
173,Oeiras Do Para,BR,-2.0031,-49.8544,83.59,59,100,3.33,overcast clouds
174,Kichera,RU,55.9375,110.0997,-3.08,77,11,6.76,few clouds
175,Tuatapere,NZ,-46.1333,167.6833,58.46,78,83,2.82,broken clouds
176,Ouadda,CF,8.0777,22.4007,69.44,42,7,2.8,clear sky
177,Solvychegodsk,RU,61.3305,46.9156,13.08,94,29,2.59,scattered clouds
178,Les Escoumins,CA,48.1111,-69.0236,24.15,90,76,5.75,broken clouds
179,Ponta Do Sol,PT,32.6667,-17.1,66.83,63,67,7.94,broken clouds
180,Giyani,ZA,-23.3025,30.7187,82.69,32,2,1.99,clear sky
181,Naziya,RU,59.8,31.3833,19.44,1,100,9.04,overcast clouds
182,Teeli,RU,51.0333,90.2333,-3.01,91,71,1.97,broken clouds
183,Shelburne,CA,44.0787,-80.2041,25.75,78,100,17.83,overcast clouds
184,Anuradhapura,LK,8.3565,80.4173,70.93,95,100,1.97,overcast clouds
185,Port Lincoln,AU,-34.7333,135.8667,56.88,61,7,20.65,clear sky
186,Haines Junction,CA,60.7522,-137.5108,10.35,85,100,0.0,overcast clouds
187,Upernavik,GL,72.7868,-56.1549,14.59,87,100,10.0,overcast clouds
188,Macusani,PE,-14.0833,-70.4333,48.33,58,79,12.86,broken clouds
189,Newport,GB,51.5877,-2.9984,48.74,84,100,9.28,overcast clouds
190,Te Anau,NZ,-45.4167,167.7167,59.2,80,100,0.83,overcast clouds
191,Krasnogorodsk,RU,56.8357,28.2822,24.04,96,100,5.57,light snow
192,Siderno,IT,38.2779,16.302,67.33,82,90,8.21,overcast clouds
193,Vryheid,ZA,-27.7695,30.7917,57.07,86,100,8.81,overcast clouds
194,Souillac,MU,-20.5167,57.5167,71.98,78,40,2.3,scattered clouds
195,Iqaluit,CA,63.7506,-68.5145,-5.31,70,40,16.11,fog
196,Parkes,AU,-33.1333,148.1833,60.49,72,0,14.74,clear sky
197,Hay River,CA,60.8156,-115.7999,22.96,53,75,5.75,broken clouds
198,Cesena,IT,44.1391,12.2432,53.42,94,75,9.22,light rain
199,Sarh,TD,9.1429,18.3923,71.51,68,0,0.0,clear sky
200,Plyussa,RU,58.4308,29.3654,22.39,89,100,8.32,overcast clouds
201,Conde,BR,-7.2597,-34.9075,80.06,74,20,10.36,few clouds
202,Curup,ID,-3.4667,102.5333,65.32,97,95,1.66,overcast clouds
203,Santa Maria,BR,-29.6842,-53.8069,92.5,24,0,12.66,clear sky
204,Cravo Norte,CO,6.3017,-70.2041,83.26,73,100,5.06,overcast clouds
205,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,87.82,56,89,6.24,overcast clouds
206,Princeton,US,25.5384,-80.4089,81.01,70,75,19.57,broken clouds
207,Portland,US,45.5234,-122.6762,51.94,47,0,14.97,clear sky
208,Victoria,HK,22.2855,114.1577,75.38,87,100,4.0,overcast clouds
209,Sisophon,KH,13.5859,102.9737,74.1,89,84,7.02,broken clouds
210,Malpe,IN,13.35,74.7167,74.5,63,71,4.63,broken clouds
211,Nome,US,64.5011,-165.4064,33.87,87,100,0.0,overcast clouds
212,Sept-Iles,CA,50.2001,-66.3821,25.05,66,40,9.22,scattered clouds
213,Lebu,CL,-37.6167,-73.65,58.71,69,67,17.29,broken clouds
214,Nanchang,CN,28.6833,115.8833,61.56,80,98,2.66,overcast clouds
215,Buenos Aires,AR,-34.6132,-58.3772,89.49,46,100,5.08,overcast clouds
216,Chabahar,IR,25.2919,60.643,78.04,68,16,4.45,few clouds
217,Port Hardy,CA,50.6996,-127.4199,37.58,81,100,0.0,overcast clouds
218,Kiruna,SE,67.8557,20.2251,0.52,85,0,2.3,clear sky
219,Beyneu,KZ,45.3167,55.2,42.42,81,18,4.88,few clouds
220,Pisco,PE,-13.7,-76.2167,71.65,64,0,18.41,clear sky
221,Dikson,RU,73.5069,80.5464,-15.81,100,92,5.95,overcast clouds
222,Yerbogachen,RU,61.2767,108.0108,-8.95,100,84,4.25,broken clouds
223,Australind,AU,-33.2667,115.7167,55.13,77,100,4.97,overcast clouds
224,Codrington,AU,-38.2667,141.9667,51.39,87,11,16.08,few clouds
225,Svatove,UA,49.4103,38.1503,37.8,83,93,15.17,overcast clouds
226,Abu Samrah,SY,35.3029,37.1841,60.12,60,0,2.51,clear sky
227,Roald,NO,62.5833,6.1333,37.76,80,0,6.91,clear sky
228,Yazd,IR,31.8972,54.3675,53.71,62,0,4.61,clear sky
229,Flinders,AU,-34.5833,150.8552,72.05,80,0,5.99,clear sky
230,Narsaq,GL,60.9167,-46.05,26.82,74,100,6.58,overcast clouds
231,Azov,RU,47.1078,39.4165,54.52,93,100,9.08,overcast clouds
232,Esperance,AU,-33.8667,121.9,57.49,73,74,14.92,broken clouds
233,Mosquera,CO,4.7059,-74.2302,64.49,72,75,9.22,broken clouds
234,La Plata,AR,-34.9215,-57.9545,89.04,32,99,10.07,overcast clouds
235,Kloulklubed,PW,7.0419,134.2556,84.04,74,81,10.49,broken clouds
236,Chokurdakh,RU,70.6333,147.9167,-7.49,97,100,12.24,overcast clouds
237,Eureka,US,40.8021,-124.1637,63.19,71,17,5.99,few clouds
238,Masaurhi,IN,25.3509,85.0342,58.89,45,98,6.2,overcast clouds
239,Cerna,RO,45.0833,28.3167,44.53,71,100,8.5,overcast clouds
240,Warri,NG,5.5167,5.75,77.85,87,100,3.8,overcast clouds
241,Eyl,SO,7.9803,49.8164,79.59,80,99,13.35,light rain
242,Alta Floresta,BR,-9.8756,-56.0861,91.22,55,40,6.91,scattered clouds
243,Beloha,MG,-25.1667,45.05,72.97,69,2,5.08,clear sky
244,Dunedin,NZ,-45.8742,170.5036,54.81,94,100,3.29,overcast clouds
245,Whitehorse,CA,60.7161,-135.0538,16.57,86,100,8.05,light snow
246,Yambio,SS,4.5721,28.3955,70.45,78,100,3.65,overcast clouds
247,Adre,TD,13.4667,22.2,70.29,22,5,12.01,clear sky
248,Murray Bridge,AU,-35.1167,139.2667,55.13,63,5,16.06,clear sky
249,Kaitangata,NZ,-46.2817,169.8464,54.48,89,100,5.86,overcast clouds
250,Spirit River,CA,55.7833,-118.8361,28.83,65,49,5.59,scattered clouds
